timestamp_s,exec_time_ms
5.9803,0.04
5.9904,0.04
6.0007,0.04
6.011,0.04
6.0211,0.04
6.0316,0.04
6.0417,0.04
6.0523,0.04
6.0624,0.04
6.0727,0.04
6.0831,0.04
6.0939,0.04
6.1035,0.04
6.1139,0.04
6.1244,0.04
6.1346,0.04
6.1448,0.04
6.1553,0.04
6.1657,0.04
6.176,0.04
6.1863,0.04
6.1966,0.04
6.2069,0.04
6.2174,0.04
6.2276,0.04
6.2383,0.04
6.2483,0.04
6.2586,0.04
6.2688,0.04
6.2791,0.04
6.2894,0.28
6.2994,0.04
6.3096,0.04
6.3197,0.04
6.3298,0.04
6.34,0.04
6.3506,0.04
6.3607,0.04
6.3711,0.04
6.381,0.04
6.3914,0.04
6.4015,0.04
6.4117,0.04
6.4222,0.04
6.4324,0.04
6.4424,0.04
6.4526,0.04
6.4631,0.04
6.4731,0.04
6.4834,0.04
6.4934,0.04
6.5035,0.04
6.5138,0.04
6.524,0.04
6.5344,0.29
6.5446,0.04
6.5546,0.04
6.5649,0.04
6.5751,0.04
6.5853,0.04
6.5954,0.04
6.6056,0.04
6.6157,0.04
6.6259,0.04
6.636,0.04
6.6464,0.3
6.6564,0.04
6.6666,0.04
6.6769,0.04
6.6871,0.04
6.6971,0.04
6.7073,0.04
6.7177,0.04
6.7277,0.04
6.7378,0.04
6.7481,0.04
6.758,0.04
6.7684,0.04
6.7787,0.04
6.7889,0.04
6.7991,0.04
6.809,0.04
6.8194,0.04
6.8296,0.04
6.8399,0.04
6.8501,0.04
6.8604,0.28
6.8704,0.04
6.8807,0.04
6.8909,0.04
6.9011,0.04
6.9113,0.04
6.9216,0.04
6.9317,0.04
6.9419,0.04
6.952,0.04
6.9624,0.04
6.9724,0.04
6.9824,0.04
6.9927,0.04
7.0029,0.04
7.0131,0.04
7.0233,0.04
7.0334,0.04
7.0437,0.04
7.0539,0.04
7.0639,0.04
7.0743,0.04
7.0844,0.04
7.0947,0.04
7.1046,0.04
7.1147,0.04
7.1251,0.04
7.1353,0.04
7.1453,0.04
7.1556,0.04
7.1658,0.04
7.1759,0.04
7.1861,0.04
7.1965,0.04
7.2066,0.04
7.2178,0.04
7.2271,0.04
7.2379,0.04
7.2476,0.04
7.2576,0.04
7.2675,0.04
7.2778,0.04
7.2881,0.04
7.2981,0.04
7.3084,0.04
7.3186,0.04
7.3286,0.04
7.3389,0.04
7.349,0.04
7.3593,0.04
7.3695,0.04
7.3797,0.04
7.3899,0.04
7.4002,0.04
7.4104,0.29
7.4204,0.04
7.4305,0.04
7.441,0.04
7.4518,0.04
7.461,0.04
7.4713,0.04
7.4816,0.04
7.4917,0.04
7.5021,0.04
7.5123,0.04
7.5223,0.04
7.5327,0.04
7.5429,0.04
7.5531,0.04
7.5636,0.04
7.5736,0.04
7.5839,0.04
7.594,0.04
7.6041,0.04
7.6144,0.04
7.6246,0.04
7.6348,0.04
7.6453,0.04
7.6554,0.04
7.6656,0.04
7.6757,0.04
7.6859,0.04
7.696,0.04
7.7063,0.04
7.7166,0.04
7.7267,0.04
7.7369,0.04
7.7477,0.04
7.7572,0.04
7.7675,0.04
7.7775,0.04
7.7878,0.04
7.7987,0.04
7.8084,0.04
7.8186,0.04
7.8288,0.04
7.839,0.04
7.8491,0.04
7.8595,0.04
7.8697,0.04
7.8798,0.04
7.89,0.04
7.9004,0.04
7.9106,0.04
7.9207,0.04
7.931,0.04
7.9419,0.04
7.9517,0.04
7.9617,0.04
7.9718,0.04
7.982,0.04
7.9924,0.04
8.0024,0.04
8.0128,0.04
8.0229,0.04
8.0335,0.28
8.0436,0.04
8.0536,0.04
8.0639,0.04
8.074,0.04
8.0844,0.04
8.0944,0.04
8.1047,0.04
8.1146,0.04
8.125,0.04
8.1351,0.04
8.1454,0.28
8.1555,0.04
8.1657,0.04
8.176,0.04
8.1864,0.28
8.1965,0.04
8.2066,0.04
8.2169,0.04
8.227,0.04
8.2374,0.28
8.2474,0.04
8.2576,0.04
8.2679,0.04
8.278,0.04
8.2883,0.25
8.2984,0.04
8.3087,0.04
8.3188,0.04
8.3294,0.28
8.3391,0.04
8.3494,0.04
8.3596,0.04
